Total number of drug-related deaths in latest FIVE years - from SAS output 2016-2020,,,,,,,,,,,,,,,,,,,,,
(''City of Edinburgh' and 'Na h-Eileanan Siar' are in their new alphabetical order),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Age at Death,,,,,,,All,,,,,,,,,,,,,
,0-14,15-24,25-34,35-44,45-54,55-64,65+,,,age 15-64 only,,,,,,,,,,,
Fife,"371,910",0,"18,956","21,372","20,356","20,297","23,933","22,193","21,114","22,099","21,336","25,932","28,128","26,819","23,785","21,963","20,873","14,045","9,995","5,681","3,033"
Glasgow City,"626,410",0,"33,646","32,848","28,128","31,575","53,396","68,913","58,230","47,631","36,324","39,044","41,307","39,157","31,946","24,866","20,937","15,457","12,038","7,182","3,785"
Highland,"235,540",0,"11,176","12,641","13,025","12,389","11,797","12,135","13,501","13,815","13,183","16,284","18,878","18,098","16,622","15,524","13,868","9,685","6,805","4,052","2,062"
Inverclyde,"78,150",0,"3,579","4,081","4,183","4,063","4,502","4,664","4,414","4,464","4,186","5,285","6,478","6,585","5,284","4,760","4,227","3,051","2,267","1,377",700
Midlothian,"91,340",0,"5,821","5,680","5,142","4,831","4,848","5,522","5,816","6,145","5,506","6,321","6,654","6,422","5,603","5,173","4,767","3,089","2,223","1,208",569
Moray,"95,520",0,"4,522","5,228","5,357","5,232","5,219","5,349","5,628","5,527","5,485","6,966","7,305","6,948","6,331","5,825","5,414","3,835","2,815","1,665",869
Na h-Eileanan Siar,"26,830",0,"1,199","1,348","1,494","1,264","1,180","1,134","1,293","1,424","1,562","1,944","2,112","2,116","1,935","1,948","1,717","1,324",940,566,330
North Ayrshire,"135,280",0,"6,442","7,358","7,520","7,261","8,075","7,452","7,015","6,970","7,221","9,421","10,625","10,407","9,439","8,811","8,282","5,819","3,842","2,193","1,127"
North Lanarkshire,"340,180",0,"18,329","20,278","20,444","19,546","20,572","20,985","21,571","22,661","21,105","24,993","26,727","24,279","20,686","17,974","15,456","11,108","7,705","4,035","1,726"
Orkney Islands,"22,190",0,966,"1,156","1,202","1,066","1,051","1,215","1,239","1,217","1,176","1,523","1,822","1,750","1,573","1,524","1,365","1,055",704,387,199
Perth & Kinross,"151,290",0,"6,897","7,956","7,954","8,043","7,710","8,235","8,534","8,677","8,185","10,320","12,014","11,289","10,277","9,914","9,023","6,638","4,845","3,054","1,725"
Renfrewshire,"177,790",0,"9,022","9,767","9,585","9,325","10,688","11,725","11,515","11,348","10,007","12,564","14,169","13,499","11,288","9,663","8,783","6,190","4,729","2,603","1,320"
Scottish Borders,"115,270",0,"5,486","6,205","6,213","5,827","5,553","5,178","5,315","5,792","6,040","8,320","9,408","9,291","8,539","8,078","7,785","5,298","3,741","2,177","1,024"
Shetland Islands,"22,990",0,"1,195","1,405","1,343","1,241","1,204","1,287","1,388","1,381","1,400","1,637","1,758","1,657","1,539","1,387","1,202",900,592,312,162
South Ayrshire,"112,550",0,"5,097","5,698","5,750","5,633","5,972","5,531","5,562","5,781","5,834","7,589","8,758","8,858","8,301","7,926","7,508","5,292","3,931","2,281","1,248"
South Lanarkshire,"319,020",0,"16,803","17,865","17,416","16,828","17,757","18,349","18,629","20,274","19,200","23,475","25,173","24,568","21,386","18,264","16,142","11,433","8,343","4,784","2,331"
Stirling,"94,330",0,"4,294","4,865","5,308","5,864","7,911","6,500","5,123","5,111","5,249","6,684","7,176","6,648","5,595","5,051","4,808","3,513","2,518","1,392",720
West Dunbartonshire,"89,130",0,"4,626","5,225","4,934","4,622","5,242","5,825","5,643","5,427","4,827","6,150","7,168","6,892","6,122","4,987","4,385","3,055","2,147","1,280",573
West Lothian,"182,140",0,"10,357","11,627","11,452","10,209","10,415","10,766","12,052","12,247","11,735","14,006","14,269","12,930","10,265","9,146","8,258","5,734","3,764","1,947",961
,,,,,,,,,,,,,,,,,,,,,
check no difference from the Scotland total of the figures that are being used for the HBs,,,,,,,,,,,,,,,,,,,,,
,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Population - grouped into age-groups used for 'Drug-related Deaths' table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,,,,age 15-64 only,,All ages (incl. 0-14 and 65+),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
All,,"635,188","743,598","665,519","778,974","722,966",,,,"3,546,245",,"5,438,100",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,,"29,098","43,936","31,165","28,404","26,333",,,,"158,936",,"227,560",,,,,,,,,
Aberdeenshire,,"26,441","28,498","34,185","40,334","36,061",,,,"165,519",,"261,470",,,,,,,,,
Angus,,"12,226","12,066","12,989","16,844","16,620",,,,"70,745",,"116,040",,,,,,,,,
Argyll + Bute,,"9,197","7,997","8,811","12,639","13,453",,,,"52,097",,"86,260",,,,,,,,,
City of Edinburgh,,"69,156","103,390","73,204","64,480","55,790",,,,"366,020",,"518,500",,,,,,,,,
Clackmannanshire,,"5,708","5,720","6,000","8,069","7,215",,,,"32,712",,"51,400",,,,,,,,,
Dumfries + Galloway,,"14,855","14,876","14,507","21,773","22,987",,,,"88,998",,"148,790",,,,,,,,,
Dundee City,,"21,979","25,754","16,482","17,934","17,942",,,,"100,091",,"148,750",,,,,,,,,
East Ayrshire,,"13,284","14,460","13,964","18,669","17,017",,,,"77,394",,"121,840",,,,,,,,,
East Dunbartonshire,,"11,739","10,740","11,874","16,051","15,794",,,,"66,198",,"108,330",,,,,,,,,
East Lothian,,"11,110","11,453","12,650","16,139","14,936",,,,"66,288",,"105,790",,,,,,,,,
East Renfrewshire,,"10,867","8,934","11,320","14,136","12,853",,,,"58,110",,"95,170",,,,,,,,,
Falkirk,,"17,387","19,234","20,816","25,115","21,236",,,,"103,788",,"160,340",,,,,,,,,
Fife,,"44,230","43,307","43,435","54,060","50,604",,,,"235,636",,"371,910",,,,,,,,,
Glasgow City,,"84,971","127,143","83,955","80,351","71,103",,,,"447,523",,"626,410",,,,,,,,,
Highland,,"24,186","25,636","26,998","35,162","34,720",,,,"146,702",,"235,540",,,,,,,,,
Inverclyde,,"8,565","9,078","8,650","11,763","11,869",,,,"49,925",,"78,150",,,,,,,,,
