Numbers  of drug-related deaths - from SAS output ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Age at Death,,,,,,,,,,,,,,,,,,,,,
,0-14,15-24,25-34,35-44,45-54,55-64,65+,All,,age 15-64 only,,check,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Registration Year,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Population - grouped into age-groups used for 'Drug-related Deaths' table,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Population aged 15 to 64,,All ages (incl. 0-14 and 65+),,,,,,,,,,,,
,,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2000,,"627,501","716,705","774,362","679,219","546,229",,"3,344,016",,"5,062,940",,,,,,,,,,,,
2001,,"633,000","696,122","782,120","689,091","551,689",,"3,352,022",,"5,064,200",,,,,,,,,,,,
2002,,"641,770","672,023","788,888","683,210","574,126",,"3,360,017",,"5,066,000",,,,,,,,,,,,
2003,,"649,412","651,761","793,213","685,178","589,496",,"3,369,060",,"5,068,500",,,,,,,,,,,,
2004,,"652,666","639,942","795,930","692,466","603,404",,"3,384,408",,"5,084,300",,,,,,,,,,,,
2005,,"658,455","636,862","796,081","702,723","614,735",,"3,408,856",,"5,110,200",,,,,,,,,,,,
2006,,"663,473","633,906","794,165","715,296","626,926",,"3,433,766",,"5,133,000",,,,,,,,,,,,
2007,,"670,850","638,117","788,910","732,085","635,763",,"3,465,725",,"5,170,000",,,,,,,,,,,,
2008,,"675,812","643,007","777,652","747,935","642,651",,"3,487,057",,"5,202,900",,,,,,,,,,,,
2009,,"681,022","649,427","761,548","762,732","649,367",,"3,504,096",,"5,231,900",,,,,,,,,,,,
2010,,"685,549","658,417","743,649","777,560","658,584",,"3,523,759",,"5,262,200",,,,,,,,,,,,
2011,,"692,411","670,135","729,765","788,086","668,387",,"3,548,784",,"5,299,900",,,,,,,,,,,,
2012,,"690,273","680,269","707,460","794,973","661,919",,"3,534,894",,"5,313,600",,,,,,,,,,,,
2013,,"683,776","692,784","688,386","800,253","663,731",,"3,528,930",,"5,327,700",,,,,,,,,,,,
2014,,"676,812","701,240","675,845","802,313","670,463",,"3,526,673",,"5,347,600",,,,,,,,,,,,
2015,,"671,653","711,786","669,962","801,111","679,818",,"3,534,330",,"5,373,000",,,,,,,,,,,,
2016,,"662,627","726,037","665,391","798,942","692,373",,"3,545,370",,"5,404,700",,,,,,,,,,,,
2017,,"646,649","737,328","664,086","792,119","707,897",,"3,548,079",,"5,424,800",,,,,,,,,,,,
2018,,"635,188","743,598","665,519","778,974","722,966",,"3,546,245",,"5,438,100",,,,,,,,,,,,
2019,,"629,414","751,718","671,954","762,548","737,816",,"3,553,450",,"5,463,300",,,,,,,,,,,,
2020,,"623,875","751,273","680,032","743,037","751,913",,"3,550,130",,"5,466,000",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Resulting death rates (per 100,000 population)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
